regionID,iso3c,country_name,city_name,incomeID,measurement,units,year,source
SAS,AFG,Afghanistan,Jalalabad,LIC,population_population_number_of_people,# of people,2015.0,"Islamic Republic of Afghanistan. 2015. ""State of Afghan Cities 2015."" Volume 1."
SAS,IND,India,Vishakhapatnam,LMC,population_population_number_of_people,# of people,2011.0,"Census of India. 2014. ""Databook for PC 2011."" December 22."
LCN,COL,Colombia,Cali,UMC,population_population_number_of_people,# of people,2005.0,"CCAC (Climate and Clean Air Coalition). n.d.(d) ""Solid Waste Management City Profile: Cali, Colombia."" Municipal Solid Waste Initiative."
SAS,AFG,Afghanistan,Kabul,LIC,population_population_number_of_people,# of people,2016.0,"World Bank. 2016b. ""Islamic  Republic of Afghanistan. Rapid Assessment of Kabul Municipality's Solid Waste Management System"" Report No. ACS19236. June."
SAS,AFG,Afghanistan,Hirat ,LIC,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
SAS,AFG,Afghanistan,Mazar-E-Sharif,LIC,population_population_number_of_people,# of people,2015.0,"Islamic Republic of Afghanistan. 2015. ""State of Afghan Cities 2015."" Volume 1."
SAS,AFG,Afghanistan,Kandahar,LIC,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
SSF,COM,Comoros,Moroni,LIC,population_population_number_of_people,# of people,2015.0,"UN (United Nations). 2017a. ""Comoros General Information."" http://data.un.org/en/iso/km.html."
SAS,IND,India,Lucknow,LMC,population_population_number_of_people,# of people,2011.0,"Census of India. 2014. ""Databook for PC 2011."" December 22."
SAS,IND,India,Greater Hyderabad  ,LMC,population_population_number_of_people,# of people,2011.0,"Census of India. 2014. ""Databook for PC 2011."" December 22."
SSF,AGO,Angola,Luanda,LMC,population_population_number_of_people,# of people,2010.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
LCN,CRI,Costa Rica,San José,UMC,population_population_number_of_people,# of people,2000.0,"Municipality of San José. 2011. ""Diagnosis on the management of solid waste in the Canton of San José."" [Municipalidad de San José. 2011. ""Diagnóstico sobre la gestión de los residuos sólidos en el Cantón de San José.""] February."
ECS,ALB,Albania,Korca,UMC,population_population_number_of_people,# of people,2011.0,"Pop, Flaviu. 2017. Technical Expert, Green Partners Ltd. Personal communication."
LCN,CUB,Cuba,Havana,UMC,population_population_number_of_people,# of people,2015.0,"JICA (Japan International Cooperation Agency). 2007. ""The Study on Integrated Management Plan of Municipal Solid Waste in Havana City."" Volume IV: Data Book. Ministry of Science, Technology and Environment in Havana City, Republic of Cuba. Nippon Koei Co., Ltd. Pacific Consultants International. March."
ECS,ALB,Albania,Vlora,UMC,population_population_number_of_people,# of people,2011.0,"KfW Bankengruppe. 2014. ""Status Quo Report: Integrated Solid Waste Management System for the Region of Vlora."" Albanian Ministry of Transport and Infrastructure. April 15."
SAS,IND,India,Gwalior ,LMC,population_population_number_of_people,# of people,2011.0,"Census of India. 2014. ""Databook for PC 2011."" December 22."
ECS,CYP,Cyprus,Nicosia,HIC,population_population_number_of_people,# of people,2016.0,"Nicosia Municipality. 2016. ""Nicosia Municipality Waste Management Practicies and Policies.""Nicosia, October 23."
MEA,ARE,United Arab Emirates,Dubai,HIC,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
