regionID,iso3c,country_name,incomeID,measurement,units,year,source
ECS,LUX,Luxembourg,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,NOR,Norway,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
MEA,MLT,Malta,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
EAS,NZL,New Zealand,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"New Zealand, MFE (Ministry for the Environment). 2014. ""New Zealand Non-Municipal Landfill Database."" Tonkin and Taylor Ltd. January. TandT Ref: 29310/ ver5."
EAS,JPN,Japan,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2010.0,"Modak, Prasad, Agamuthu Pariatamby, Jeffrey Seadon, Perinaz Bhada-Tata, Guilberto Borongan, Nang Sian Thawn, Ma. Bernadeth Lim. 2017. ""Asia Waste Management Outlook"". Edited by P. Modak. United Nations Environment Programme (UNEP), Asian Institute of Technology (AIT), and International Solid Waste Association (ISWA)."
MEA,JOR,Jordan,LMC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"GIZ and SWEEP-Net. 2014d. ""Country Report on the Solid Waste Management in Jordan."" German Corporation for International Cooperation [Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH (GIZ)] and Regional Solid Waste Exchange of Information and Expertise Network in Mashreq and Maghreb Countries (SWEEP-Net), on behalf of the German Federal Ministry for Economic Cooperation and Development [Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)]. April."
ECS,UKR,Ukraine,LMC,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"GIZ (Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH). 2016. ""National Waste Management Strategy for Ukraine- Preliminary Draft National Waste Management Strategy."" GIZ [Deutsche Gesellschaft für Internationale Zusammenarbeit]. Programme to Support the Green Modernisation of the Ukrainian Economy. Kiev, December."
ECS,ROU,Romania,UMC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,SWE,Sweden,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,BEL,Belgium,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,MKD,"Macedonia, FYR",UMC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,FIN,Finland,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
MEA,IRN,"Iran, Islamic Rep.",UMC,special_waste_agricultural_waste_tons_year,tonnes/year,2005.0,"Modak, Prasad, Agamuthu Pariatamby, Jeffrey Seadon, Perinaz Bhada-Tata, Guilberto Borongan, Nang Sian Thawn, Ma. Bernadeth Lim. 2017. ""Asia Waste Management Outlook"". Edited by P. Modak. United Nations Environment Programme (UNEP), Asian Institute of Technology (AIT), and International Solid Waste Association (ISWA)."
EAS,MYS,Malaysia,UMC,special_waste_agricultural_waste_tons_year,tonnes/year,1997.0,"Modak, Prasad, Agamuthu Pariatamby, Jeffrey Seadon, Perinaz Bhada-Tata, Guilberto Borongan, Nang Sian Thawn, Ma. Bernadeth Lim. 2017. ""Asia Waste Management Outlook"". Edited by P. Modak. United Nations Environment Programme (UNEP), Asian Institute of Technology (AIT), and International Solid Waste Association (ISWA)."
EAS,IDN,Indonesia,LMC,special_waste_agricultural_waste_tons_year,tonnes/year,1997.0,"Modak, Prasad, Agamuthu Pariatamby, Jeffrey Seadon, Perinaz Bhada-Tata, Guilberto Borongan, Nang Sian Thawn, Ma. Bernadeth Lim. 2017. ""Asia Waste Management Outlook"". Edited by P. Modak. United Nations Environment Programme (UNEP), Asian Institute of Technology (AIT), and International Solid Waste Association (ISWA)."
NAC,CAN,Canada,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2006.0,"Canada, Statistics Canada. 2012. ""Human Activity and the Environment: Waste Management in Canada."" Catalogue no. 16-201-X. Ottawa, September."
ECS,ISL,Iceland,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2013.0,"Iceland, Statistics Iceland. 2015. ""Statistical Yearbook of Iceland 2015"". [Landshagir 2015]. Statistics of Iceland III, 108 [Hagskýrslur Íslands III, 108]. Statistics Iceland [Hagstofa Íslands], Government of Iceland."
ECS,ARM,Armenia,LMC,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Armenia National Statistical Service. 2015. Accessed July 20, 2017. http://armstatbank.am/pxweb/en/ArmStatBank/ArmStatBank__8%20Environment%20and%20energy__Environment__(I)%20Waste/EE-i1-2-2015.px/table/tableViewLayout2/?rxid=002cc9e9-1bc8-4ae6-aaa3-40c0e377450a."
ECS,XKX,Kosovo,LMC,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,NLD,Netherlands,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,CYP,Cyprus,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,DNK,Denmark,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,HRV,Croatia,UMC,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
SAS,PAK,Pakistan,LMC,special_waste_agricultural_waste_tons_year,tonnes/year,2013.0,"Saeed, M. A., A. Irshad, H. Sattar, G.E. Andrews, H.N. Phylaktou, and B.M. Gibbs. 2015. ""Agricultural Waste Biomass Energy Potential in Pakistan."""
MEA,EGY,"Egypt, Arab Rep.",LMC,special_waste_agricultural_waste_tons_year,tonnes/year,2012.0,"GIZ and SWEEP-Net. 2014c. ""Country Report on the Solid Waste Management in Egypt."" German Corporation for International Cooperation [Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH (GIZ)] and Regional Solid Waste Exchange of Information and Expertise Network in Mashreq and Maghreb Countries (SWEEP-Net), on behalf of the German Federal Ministry for Economic Cooperation and Development [Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)]. April."
MEA,ARE,United Arab Emirates,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Abu Dhabi SCAD (Statistics Centre Abu Dhabi). 2016. ""Waste Statistics 2015."""
ECS,KGZ,Kyrgyz Republic,LMC,special_waste_agricultural_waste_tons_year,tonnes/year,2010.0,"Anon. 2012. ""Waste production and disposal in the Kyrgyz Republic."" Waste Statistics Seminar. Geneva, April 11‐13."
ECS,AUT,Austria,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,EST,Estonia,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,GBR,United Kingdom,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,DEU,Germany,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,IRL,Ireland,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,BGR,Bulgaria,UMC,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,ITA,Italy,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,SRB,Serbia,UMC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,LTU,Lithuania,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
SAS,BGD,Bangladesh,LMC,special_waste_agricultural_waste_tons_year,tonnes/year,2007.0,"Anon. 2010. ""Country Presentation Bangladesh."" 2nd Meeting of the Regional 3R Forum in Asia. Kuala Lumpur. October 4-6."
MEA,TUN,Tunisia,LMC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"GIZ and SWEEP-Net. 2014h. ""Country Report on the Solid Waste Management in Tunisia."" German Corporation for International Cooperation [Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH (GIZ)] and Regional Solid Waste Exchange of Information and Expertise Network in Mashreq and Maghreb Countries (SWEEP-Net), on behalf of the German Federal Ministry for Economic Cooperation and Development (BMZ). April."
MEA,PSE,West Bank and Gaza,LMC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"GIZ and SWEEP-Net. 2014g. ""Country Report on the Solid Waste Management in Occupied Palestinian Territories."" German Corporation for International Cooperation [Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH (GIZ)] and Regional Solid Waste Exchange of Information and Expertise Network in Mashreq and Maghreb Countries (SWEEP-Net), on behalf of the German Federal Ministry for Economic Cooperation and Development (BMZ). April."
ECS,FRA,France,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,HUN,Hungary,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
EAS,CHN,China,UMC,special_waste_agricultural_waste_tons_year,tonnes/year,2011.0,"Takeda, Nobou, Wei Wang and Masaki Takaoka, eds. 2014. Solid Waste Management, Urban Environment 3. Kyoto University Press."
SAS,AFG,Afghanistan,LIC,special_waste_agricultural_waste_tons_year,tonnes/year,2009.0,"Milbrandt, Anelia, and Ralph Overend. 2011. ""Assessment of Biomass Resources in Afghanistan."" NREL (National Renewable Energy Laboratory). NREL/TP-6A20-49358. January."
ECS,ESP,Spain,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,PRT,Portugal,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,GRC,Greece,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
EAS,THA,Thailand,UMC,special_waste_agricultural_waste_tons_year,tonnes/year,2004.0,"Modak, Prasad, Agamuthu Pariatamby, Jeffrey Seadon, Perinaz Bhada-Tata, Guilberto Borongan, Nang Sian Thawn, Ma. Bernadeth Lim. 2017. ""Asia Waste Management Outlook"". Edited by P. Modak. United Nations Environment Programme (UNEP), Asian Institute of Technology (AIT), and International Solid Waste Association (ISWA)."
ECS,SVK,Slovak Republic,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,LIE,Liechtenstein,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,SVN,Slovenia,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,POL,Poland,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,LVA,Latvia,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
ECS,CZE,Czech Republic,HIC,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
