iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,population_population_number_of_people,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_treatment_recycling_percent
ABW,LCN,Aruba,HIC,35563.3125,,,,,,,,Yes,Yes,Yes,103187,,,88132.0167,11.0
AFG,SAS,Afghanistan,LIC,2057.062255859375,,,,,,,,Yes,Yes,Yes,34656032,20000.0,,5628525.37,
AGO,SSF,Angola,LMC,8036.6904296875,51.8,6.7,4.4,11.5,11.9,13.5,,,Yes,Yes,25096150,92000.0,,4213643.585,
ALB,ECS,Albania,UMC,13724.05859375,51.4,4.5,4.8,15.21,9.9,9.6,No,Yes,Yes,Yes,2854191,20000.0,5714.82,1087446.75,
AND,ECS,Andorra,HIC,43711.80078125,31.2,8.2,2.6,11.6,35.1,11.3,,Yes,Yes,Yes,82431,,1788.0,43000.0,
ARE,MEA,United Arab Emirates,HIC,67119.1328125,39.0,4.0,3.0,10.0,25.0,19.0,Yes,Yes,,Yes,9770529,134000.0,57525.0,5617682.0,20.0
ARG,LCN,Argentina,HIC,23550.099609375,38.74,3.16,1.84,15.36,13.96,14.61,Yes,,Yes,Yes,42981516,291700.0,310044.0,17910550.0,6.0
ARM,ECS,Armenia,UMC,11019.8388671875,57.0,3.2,3.4,17.4,6.7,11.4,No,No,Yes,No,2906220,14000.0,62270.0,492800.0,
ASM,EAS,American Samoa,UMC,11113.4423828125,19.7,3.4,7.9,25.6,26.4,12.8,,Yes,,,55599,,,18989.49,
ATG,LCN,Antigua and Barbuda,HIC,17965.501953125,46.0,7.0,7.0,12.0,15.0,13.0,No,Yes,Yes,No,96777,1100.0,,30585.0,
AUS,EAS,Australia,HIC,47784.1796875,48.44,3.81,19.38,3.46,17.3,7.61,Yes,Yes,Yes,Yes,23789338,574000.0,7000000.0,13345000.0,42.1
AUT,ECS,Austria,HIC,56029.61328125,31.4,7.0,4.4,18.5,19.7,11.1,,Yes,Yes,No,8877067,166174.0,1272288.0,5219715.5,25.66
AZE,ECS,Azerbaijan,UMC,14853.91015625,45.19,5.28,3.49,13.73,10.93,7.87,,Yes,Yes,No,9649341,63000.0,296979.4,2930349.0,
BDI,SSF,Burundi,LIC,839.7785034179686,81.0,2.9,2.1,3.2,7.3,3.5,,,,,6741569,5000.0,,1872016.0,
BEL,ECS,Belgium,HIC,51914.9140625,14.18,3.1,1.91,40.14,18.38,13.94,,Yes,Yes,No,11484055,603575.0,2946195.0,4765883.0,34.303
BEN,SSF,Benin,LIC,2227.352294921875,52.1,1.6,1.6,34.3,3.1,7.3,,,Yes,Yes,5521763,8200.0,,685936.01,25.0
BFA,SSF,Burkina Faso,LIC,1925.3311767578125,21.0,1.0,1.0,61.0,7.0,9.0,No,No,Yes,Yes,18110624,11000.0,7871.0,2575251.11,12.0
BGD,SAS,Bangladesh,LMC,3195.737060546875,80.57999999999998,0.44,0.5,8.59,3.04,4.67,No,Yes,Yes,Yes,155727056,142000.0,114358.0,14778497.33,
BGR,ECS,Bulgaria,UMC,22279.361328125,24.35,5.83,1.98,17.93,14.18,12.15,Yes,Yes,Yes,Yes,7025037,53785.0,12206169.0,2859190.0,19.03
BHR,MEA,Bahrain,HIC,47937.77734375,59.1,3.4,2.1,15.2,12.8,7.4,No,Yes,Yes,,1425171,20000.0,31000.0,951942.96945,8.0
BHS,LCN,"Bahamas, The",HIC,35400.08203125,46.0,7.0,7.0,12.0,15.0,13.0,No,Yes,No,No,386838,4900.0,,264000.0,
BIH,ECS,Bosnia and Herzegovina,UMC,12671.0078125,,,,92.7,4.9,,No,No,No,Yes,3535961,1409.0,8408.0,1248718.0,0.00097
BLR,ECS,Belarus,UMC,18307.51953125,30.0,8.0,2.0,35.0,5.0,12.0,Yes,Yes,Yes,Yes,9489616,72000.0,1336926.0,4280000.0,16.0
BLZ,LCN,Belize,UMC,7259.0244140625,47.0,8.0,5.0,5.0,16.0,19.0,Yes,Yes,Yes,,359288,2300.0,,101378.83030000002,
BMU,NAC,Bermuda,HIC,80982.3671875,17.0,9.0,6.0,26.0,29.0,13.0,Yes,Yes,Yes,No,64798,,525.0,82000.0,2.0
