iso3c;region_id;country_name;income_id;city_name;composition_food_organic_waste_percent;composition_glass_percent;composition_metal_percent;composition_other_percent;composition_paper_cardboard_percent;composition_plastic_percent;composition_rubber_leather_percent;composition_wood_percent;composition_yard_garden_green_waste_percent;institutional_framework_department_dedicated_to_solid_waste_management_na;institutional_framework_environmental_assessment_for_solid_waste_management_in_the_past_5_years_na;institutional_framework_information_system_for_solid_waste_management_na;institutional_framework_performed_a_social_assessment_for_solid_waste_management_in_the_past_5_years_na;institutional_framework_unit_enforcing_solid_waste_issues_in_the_city_such_as_illegal_dumping_or_littering_na;legal_framework_long_term_integrated_solid_waste_master_plan_na;legal_framework_master_plan_is_being_implemented_na;legal_framework_solid_waste_management_rules_and_regulations_na;n_waste_pickers_number_of_waste_pickers_number_of_people;percent_informal_sector_percent_collected_by_informal_sector_percent;population_population_number_of_people;primary_collection_mode_form_of_primary_collection_na;separation_breakdonw_cans_and_metals_na;separation_breakdonw_glass_na;separation_breakdonw_organics_na;separation_breakdonw_other_na;separation_breakdonw_paper_cardboard_na;separation_breakdonw_plastics_and_packaging_na;separation_existence_of_source_separation_na;subisidies_other_subsidies_or_transfers_na;subisidies_subsidies_or_transfers_from_a_central_government_authority_na;total_msw_total_msw_generated_tons_year;transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km;transportation_transfer_station_or_colletion_point_aggregation_na;transportation_transfer_stations_operational_number;transportation_transfer_stations_operational_na;transportation_trips_per_year_na;transportation_trips_per_year_trips_year;waste_treatment_advanced_thermal_treatment_percent;waste_treatment_anaerobic_digestion_percent;waste_treatment_compost_percent;waste_treatment_controlled_landfill_percent;waste_treatment_incineration_percent;waste_treatment_landfill_unspecified_percent;waste_treatment_open_dump_percent;waste_treatment_other_percent;waste_treatment_recycling_percent;waste_treatment_sanitary_landfill_landfill_gas_system_percent;waste_treatment_unaccounted_for_percent;waste_treatment_waterways_marine_percent
AFG;SAS;Afghanistan;LIC;Jalalabad;1.0455;1.1175;0.0175;84.854;0.08;5.6455;4.9425;0.156;2.1395;Yes;;No;;;No;No;Yes;;10.0;326585.0;Door-to-door collection;No;No;No;;No;No;No;;;58914.45;;;;;;;;;;;;;100;;;;;
AFG;SAS;Afghanistan;LIC;Kandahar;11.6;2.311;0.169;64.364;1.499;9.643;5.929;;4.49;Yes;;No;;;No;No;Yes;;;429000.0;Centralized drop-off point;No;No;No;;No;No;No;;;120971;;;;;;;;;;;;;100;;;;;
AFG;SAS;Afghanistan;LIC;Mazar-E-Sharif;50.5;1.32;0.32;28.87;1.69;10.64;3.41;0.18;2.87;Yes;;No;;;No;No;Yes;;;635250.0;Centralized drop-off point;No;No;No;;No;No;No;;;52368.4;;;;;;;;;;;;;100;;;;;
AFG;SAS;Afghanistan;LIC;Kabul;13.5;1;0.5;63;5.0;11;;1;4.0;;;;;;No;No;Yes;1000.0;5.0;3700000.0;Centralized drop-off point;;;;;;;;;;1989250;80;;;0;;401500;;;;;;;75;;;;25;
AFG;SAS;Afghanistan;LIC;Hirat ;52.94;1.47;0.23;23.05;3.67;12.06;5.39;0.54;0.64;Yes;;No;;;No;No;Yes;;29.0;337000.0;Door-to-door collection;No;No;No;;No;No;No;;;91644.7;;;;;;;;;;;;;100;;;;;
AGO;SSF;Angola;LMC;Luanda;21;6;3;43;11.0;12;;1;3.0;;;;;;;;;;;4508000.0;;;;;;;;;;;1316336;20;;;;;;;;;;;;;;;;;
ALB;ECS;Albania;UMC;Korca;37;2;2;37;11.0;11;;;;Yes;No;Yes;No;No;No;No;Yes;;;51152.0;Curbside collection;No;No;No;No;No;No;No;;;21000;7;;;;;;;;;100;;;;;;;;
ALB;ECS;Albania;UMC;Vlora;40.42;4.47;0.99;24.08;18.94;11.1;;;;Yes;No;Yes;No;No;No;No;Yes;;;79513.0;Curbside collection;No;No;No;No;No;No;No;380000.0;;37955;7;;;;;;;;;;;;90;;10.0;;;
ARE;MEA;United Arab Emirates;HIC;Abu Dhabi;39;4;3;10;25.0;19;;;;Yes;;;;Yes;yes;yes;yes;;;1145000.0;Curbside collection;;;;;;;No;;;1033543;;;6.0;;;;;;9;;;9.0;62;;20.0;;;
ARE;MEA;United Arab Emirates;HIC;Dubai;35.42;3.42;2.37;7.55;24.29;24.23;1.67;0.98;;Yes;;;;;Yes;Yes;Yes;;;2415000.0;Curbside;;;;;;;;;;2689808;;;;;;3,65E+05;;;;;;;;;25.0;75.0;;
