iso3c,region_id,country_name,income_id,city_name,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,institutional_framework_department_dedicated_to_solid_waste_management_na,legal_framework_long_term_integrated_solid_waste_master_plan_na,legal_framework_solid_waste_management_rules_and_regulations_na,population_population_number_of_people,primary_collection_mode_form_of_primary_collection_na,separation_existence_of_source_separation_na,total_msw_total_msw_generated_tons_year,measurement,units,year,source
AFG,SAS,Afghanistan,LIC,Jalalabad,1.0455,1.1175,0.0175,84.854,0.08,5.6455,Yes,No,Yes,326585.0,Door-to-door collection,No,58914.45,population_population_number_of_people,# of people,2015.0,"Islamic Republic of Afghanistan. 2015. ""State of Afghan Cities 2015."" Volume 1."
AFG,SAS,Afghanistan,LIC,Kandahar,11.6,2.311,0.169,64.364,1.499,9.643,Yes,No,Yes,429000.0,Centralized drop-off point,No,120971,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
AFG,SAS,Afghanistan,LIC,Mazar-E-Sharif,50.5,1.32,0.32,28.87,1.69,10.64,Yes,No,Yes,635250.0,Centralized drop-off point,No,52368.4,population_population_number_of_people,# of people,2015.0,"Islamic Republic of Afghanistan. 2015. ""State of Afghan Cities 2015."" Volume 1."
AFG,SAS,Afghanistan,LIC,Kabul,13.5,1,0.5,63,5.0,11,,No,Yes,3700000.0,Centralized drop-off point,,1989250,population_population_number_of_people,# of people,2016.0,"World Bank. 2016b. ""Islamic  Republic of Afghanistan. Rapid Assessment of Kabul Municipality's Solid Waste Management System"" Report No. ACS19236. June."
AFG,SAS,Afghanistan,LIC,Hirat ,52.94,1.47,0.23,23.05,3.67,12.06,Yes,No,Yes,337000.0,Door-to-door collection,No,91644.7,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
AGO,SSF,Angola,LMC,Luanda,21,6,3,43,11.0,12,,,,4508000.0,,,1316336,population_population_number_of_people,# of people,2010.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
ALB,ECS,Albania,UMC,Korca,37,2,2,37,11.0,11,Yes,No,Yes,51152.0,Curbside collection,No,21000,population_population_number_of_people,# of people,2011.0,"Pop, Flaviu. 2017. Technical Expert, Green Partners Ltd. Personal communication."
ALB,ECS,Albania,UMC,Vlora,40.42,4.47,0.99,24.08,18.94,11.1,Yes,No,Yes,79513.0,Curbside collection,No,37955,population_population_number_of_people,# of people,2011.0,"KfW Bankengruppe. 2014. ""Status Quo Report: Integrated Solid Waste Management System for the Region of Vlora."" Albanian Ministry of Transport and Infrastructure. April 15."
ARE,MEA,United Arab Emirates,HIC,Abu Dhabi,39,4,3,10,25.0,19,Yes,yes,yes,1145000.0,Curbside collection,No,1033543,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
ARE,MEA,United Arab Emirates,HIC,Dubai,35.42,3.42,2.37,7.55,24.29,24.23,Yes,Yes,Yes,2415000.0,Curbside,,2689808,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
