iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,population_population_number_of_people,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_treatment_recycling_percent,measurement,units,year,source
ABW,LCN,Aruba,HIC,35563.3125,,,,,,,,Yes,Yes,Yes,103187,,,88132.0167,11.0,waste_treatment_recycling_percent,tonnes/year,2013.0,"PricewaterhouseCoopers Aruba. 2014. ""Environmental Sustainability Ranking: Determining and Fortifying Aruba’s Position in the Caribbean."" Version 1.1. PricewaterhouseCoopers Aruba. October 28. https://www.pwc.com/an/en/publications/assets/pwc-environmental-sustainability-ranking-positioning-and-fortifying-aruba-in-caribbean.pdf."
AFG,SAS,Afghanistan,LIC,2057.062255859375,,,,,,,,Yes,Yes,Yes,34656032,20000.0,,5628525.37,,special_waste_agricultural_waste_tons_year,tonnes/year,2009.0,"Milbrandt, Anelia, and Ralph Overend. 2011. ""Assessment of Biomass Resources in Afghanistan."" NREL (National Renewable Energy Laboratory). NREL/TP-6A20-49358. January."
AGO,SSF,Angola,LMC,8036.6904296875,51.8,6.7,4.4,11.5,11.9,13.5,,,Yes,Yes,25096150,92000.0,,4213643.585,,waste_collection_coverage_total_percent_of_waste,Percent of population,2011.0,"UNSD (United Nations Statistics Division). 2016a. ""Environmental Indicators: Waste. Municipal Waste Collected."" United Nations Statistics Division (UNSD), United Nations. November. http://unstats.un.org/unsd/ENVIRONMENT/qindicators.htm."
ALB,ECS,Albania,UMC,13724.05859375,51.4,4.5,4.8,15.21,9.9,9.6,No,Yes,Yes,Yes,2854191,20000.0,5714.82,1087446.75,,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2016.0,"Albania, INSTAT (Institute of Statistics). 2017. ""Urban and Insert Solid Wastes."" Institute of Statistics (INSTAT), Government of Albania. http://www.instat.gov.al/en/themes/environment-and-energy/environment/#tab2"
AND,ECS,Andorra,HIC,43711.80078125,31.2,8.2,2.6,11.6,35.1,11.3,,Yes,Yes,Yes,82431,,1788.0,43000.0,,waste_collection_coverage_total_percent_of_waste,Percent of population,2012.0,"UNSD (United Nations Statistics Division). 2016a. ""Environmental Indicators: Waste. Municipal Waste Collected."" United Nations Statistics Division (UNSD), United Nations. November. http://unstats.un.org/unsd/ENVIRONMENT/qindicators.htm."
ARE,MEA,United Arab Emirates,HIC,67119.1328125,39.0,4.0,3.0,10.0,25.0,19.0,Yes,Yes,,Yes,9770529,134000.0,57525.0,5617682.0,20.0,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Abu Dhabi SCAD (Statistics Centre Abu Dhabi). 2016. ""Waste Statistics 2015."""
ARG,LCN,Argentina,HIC,23550.099609375,38.74,3.16,1.84,15.36,13.96,14.61,Yes,,Yes,Yes,42981516,291700.0,310044.0,17910550.0,6.0,waste_treatment_controlled_landfill_percent,tonnes/year,2010.0,"Argentina SIDSA (System of Indicators of Sustainable Development). 2015. ""System of Indicators of Sustainable Development, Argentina."" 8th Edition. [SIDSA (Sistema de Indicadores de Desarrollo Sostenible). 2015. ""Sistema de Indicadores de Desarrollo Sostenible, Argentina"". Octava Edición.] ISBN 978-987-29340-8-8."
ARM,ECS,Armenia,UMC,11019.8388671875,57.0,3.2,3.4,17.4,6.7,11.4,No,No,Yes,No,2906220,14000.0,62270.0,492800.0,,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Armenia National Statistical Service. 2015. Accessed July 20, 2017. http://armstatbank.am/pxweb/en/ArmStatBank/ArmStatBank__8%20Environment%20and%20energy__Environment__(I)%20Waste/EE-i1-2-2015.px/table/tableViewLayout2/?rxid=002cc9e9-1bc8-4ae6-aaa3-40c0e377450a."
ASM,EAS,American Samoa,UMC,11113.4423828125,19.7,3.4,7.9,25.6,26.4,12.8,,Yes,,,55599,,,18989.49,,waste_collection_coverage_total_percent_of_waste,Percent of population,2014.0,"SPREP (Secretariat of the Pacific Regional Environment Programme). 2016. ""Cleaner Pacific 2025: Pacific Regional Waste and Pollution Management Strategy, 2016–2025."" Secretariat of the Pacific Regional Environment Programme, Apia, Samoa. https://sustainabledevelopment.un.org/content/documents/commitments/1326_7636_commitment_cleaner-pacific-strategy-2025.pdf."
ATG,LCN,Antigua and Barbuda,HIC,17965.501953125,46.0,7.0,7.0,12.0,15.0,13.0,No,Yes,Yes,No,96777,1100.0,,30585.0,,waste_treatment_compost_percent,tonnes/year,2011.0,"Antigua and Barbuda, Statistics Divison. 2014. ""Antigua and Barbuda 2011 Population and Housing Census– Book of Statistical Tables."" April."
